Handsome;DoesntExist;CanBeAfraid;WellConsidered;MeaninglessConcept;Model;BecomesOneByDying;CanBeMean;ActsForMajority;CanDoBadThings;HasNoFamily;AccomplishesExtraordinary;HasBeenThroughOrdeals;IsTheMainCharacterOf;IsDefinedAsSuchDespite;ComesFromBelief;HasNoNormalLife;ArousesAdmiration;BeyondAvergageMenAbilities;SupernaturalAbilities;DoestExistInUtopianWorld;ActsAlone;Intemporal;CanBeIdentifiedTo;GivesBestOfThemselves;FightsAgainstEvil;Stubborn;PersonnalNotion;InsideUs;RisksLifeForOthers;QuestionsSocietyRules;HelpsOthers;Brave;ActsAccordingToTheirValues;WhenUHearWordHero;DoYouLikeMovieBookWhereCharacterIsHero;MostImportantInYourLife;AreUCreative;AreUindependant;AreUCurious;AreUSensitive;AreUGenerous;AreUTimid;GoOnPilgrimage;GoOnInstagram;ReadStimulatingBook;TakeDrugs;WatchMovie;DuringWorkTime;LookAtPostcard;TouchMaterial;SmellPerfume;ShareEmotionsWithRelatives;GoAbroad;ListenToForeignLanguage;ToRemember;EatUnusualMeal;GoToMuseum;GoToExhibition;EscapeDaily;ObserveSculptureArchitecture;MeetNewPeople;HaveFun;LearnAboutOneself;EverywhereButHome;ToRelax;ToExplore;DiscoverNewCulture;Dream;Essential;ListenToSong;EvaluationHero;EvaluationTravel
DontAgree;DontAgreeAtAll;Agree;DontAgree;DontAgree;Neither;Agree;Neither;TotallyAgree;Neither;DontAgreeAtAll;Agree;Neither;Agree;DontAgree;DontAgree;DontAgree;Agree;DontAgreeAtAll;DontAgree;Neither;Neither;Neither;Neither;Neither;Agree;Neither;Neither;Neither;Agree;DontAgreeAtAll;TotallyAgree;TotallyAgree;TotallyAgree;Someone Fictive;Yes;Justice;DontAgreeAtAll;Agree;Agree;TotallyAgree;TotallyAgree;DontAgree;DontAgreeAtAll;Neither;TotallyAgree;DontAgreeAtAll;Neither;DontAgree;DontAgree;Agree;Neither;Neither;TotallyAgree;Neither;Neither;Agree;DontAgreeAtAll;DontAgree;DontAgree;DontAgreeAtAll;Neither;Agree;DontAgree;DontAgree;TotallyAgree;TotallyAgree;Agree;Agree;Neither;Agree;9;8
Neither;DontAgree;Agree;DontAgree;DontAgreeAtAll;DontAgree;Neither;DontAgreeAtAll;TotallyAgree;Agree;DontAgreeAtAll;Agree;DontAgree;Neither;Neither;Neither;DontAgree;Agree;DontAgree;Neither;DontAgreeAtAll;Neither;Neither;TotallyAgree;Agree;Agree;Neither;TotallyAgree;DontAgree;Neither;Neither;Agree;TotallyAgree;Neither;Someone Fictive;Yes;Justice;Neither;Agree;Neither;Agree;Agree;Agree;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;Agree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;DontAgree;Neither;TotallyAgree;Neither;TotallyAgree;DontAgree;Agree;DontAgree;Neither;DontAgree;Neither;Agree;Neither;Neither;Neither;Agree;Agree;Agree;TotallyAgree;TotallyAgree;8;7
DontAgreeAtAll;Neither;DontAgree;Neither;DontAgree;TotallyAgree;DontAgreeAtAll;Neither;Neither;Agree;DontAgree;DontAgreeAtAll;Neither;Neither;Agree;DontAgree;DontAgree;Agree;Neither;Neither;Neither;DontAgreeAtAll;DontAgree;TotallyAgree;Agree;Neither;Agree;TotallyAgree;DontAgree;Neither;Neither;Agree;Agree;TotallyAgree;Someone I Know;No;Love;Neither;DontAgree;TotallyAgree;Agree;Agree;Neither;Neither;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;Agree;TotallyAgree;Agree;Agree;Neither;Neither;DontAgree;TotallyAgree;Neither;Agree;DontAgree;Agree;DontAgree;Neither;TotallyAgree;TotallyAgree;Agree;Neither;Neither;9;5
Agree;Neither;DontAgree;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;DontAgreeAtAll;DontAgree;Agree;Agree;Neither;DontAgree;Neither;DontAgree;Neither;TotallyAgree;Agree;Neither;Neither;Neither;DontAgree;Agree;TotallyAgree;Neither;Neither;Neither;TotallyAgree;DontAgree;Agree;Agree;Neither;Someone Fictive;Yes;Justice;Agree;Agree;Agree;Agree;Agree;Agree;DontAgree;DontAgreeAtAll;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgreeAtAll;Neither;Agree;Neither;TotallyAgree;Neither;Neither;Neither;DontAgree;Neither;DontAgree;Neither;Agree;Agree;Agree;TotallyAgree;TotallyAgree;TotallyAgree;Agree;Agree;DontAgree;9;10
DontAgreeAtAll;DontAgree;Agree;DontAgreeAtAll;Agree;TotallyAgree;Neither;Neither;Agree;Neither;DontAgreeAtAll;DontAgreeAtAll;Neither;Neither;Neither;DontAgree;Neither;TotallyAgree;DontAgree;DontAgree;DontAgree;DontAgree;Neither;Agree;Neither;Neither;DontAgree;TotallyAgree;Neither;Neither;Agree;TotallyAgree;Agree;Agree;Someone Famous;Yes;Freedom;Neither;Agree;Agree;Agree;Agree;Neither;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;Neither;TotallyAgree;TotallyAgree;Agree;Agree;DontAgree;DontAgree;DontAgree;Neither;Neither;Agree;Neither;Neither;Neither;Agree;TotallyAgree;Agree;TotallyAgree;Neither;Agree;9;10
Agree;DontAgree;Neither;Neither;DontAgree;Agree;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgreeAtAll;Neither;Agree;Neither;Neither;DontAgreeAtAll;Agree;TotallyAgree;DontAgree;DontAgree;Neither;Neither;DontAgree;Neither;Neither;Neither;DontAgree;Neither;Agree;TotallyAgree;Agree;Agree;TotallyAgree;TotallyAgree;Nobody in particular;No;Freedom;Agree;Agree;Agree;Neither;Neither;Neither;DontAgreeAtAll;DontAgree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;Neither;Neither;DontAgreeAtAll;Neither;TotallyAgree;Neither;Agree;Neither;TotallyAgree;DontAgree;DontAgree;Agree;DontAgree;Agree;TotallyAgree;Neither;Neither;Agree;TotallyAgree;Agree;Neither;Agree;DontAgree;8;8
Neither;Agree;Neither;Neither;DontAgreeAtAll;DontAgree;TotallyAgree;Neither;Neither;DontAgree;Neither;Neither;Agree;DontAgree;Neither;Agree;Neither;Agree;Neither;TotallyAgree;DontAgree;DontAgree;DontAgree;TotallyAgree;DontAgreeAtAll;Agree;Neither;Neither;DontAgreeAtAll;DontAgree;TotallyAgree;Agree;Agree;DontAgreeAtAll;Someone Fictive;Yes;Freedom;Neither;Agree;TotallyAgree;Agree;Agree;Agree;Neither;DontAgree;DontAgreeAtAll;DontAgree;DontAgreeAtAll;Agree;Neither;Neither;DontAgree;DontAgree;DontAgreeAtAll;TotallyAgree;Neither;Neither;Agree;Agree;DontAgree;Agree;DontAgreeAtAll;Agree;Agree;TotallyAgree;Neither;TotallyAgree;DontAgree;Neither;TotallyAgree;Neither;8;8
Neither;DontAgree;TotallyAgree;Neither;DontAgreeAtAll;Agree;DontAgree;Neither;Agree;Neither;DontAgreeAtAll;Neither;Neither;Neither;Neither;DontAgreeAtAll;DontAgreeAtAll;Agree;DontAgree;DontAgree;Neither;Neither;Neither;TotallyAgree;Agree;DontAgree;Neither;TotallyAgree;TotallyAgree;Agree;DontAgree;Agree;Agree;DontAgree;Nobody in particular;No;Justice;DontAgree;TotallyAgree;TotallyAgree;TotallyAgree;Neither;DontAgreeAtAll;DontAgreeAtAll;Neither;Agree;DontAgreeAtAll;DontAgree;DontAgree;Neither;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;Agree;Neither;DontAgree;Neither;Neither;DontAgree;Agree;DontAgree;TotallyAgree;Agree;TotallyAgree;Neither;Neither;Agree;Agree;TotallyAgree;Neither;DontAgree;8;10
Neither;Neither;TotallyAgree;DontAgree;DontAgreeAtAll;Neither;DontAgreeAtAll;Agree;Neither;Agree;DontAgree;DontAgree;DontAgree;Neither;Neither;Neither;DontAgree;Agree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;Neither;Agree;Agree;DontAgree;Neither;Neither;TotallyAgree;Agree;Neither;Neither;TotallyAgree;TotallyAgree;Agree;Nobody in particular;Yes;Freedom;DontAgreeAtAll;TotallyAgree;Agree;Neither;Neither;DontAgreeAtAll;Neither;DontAgreeAtAll;Agree;Neither;Neither;DontAgreeAtAll;Agree;DontAgreeAtAll;Agree;Neither;TotallyAgree;TotallyAgree;Agree;TotallyAgree;Neither;DontAgree;Neither;DontAgree;DontAgree;DontAgree;Neither;DontAgreeAtAll;DontAgree;Neither;TotallyAgree;Agree;DontAgree;Agree;9;10
Neither;Neither;Agree;DontAgreeAtAll;DontAgreeAtAll;Neither;DontAgreeAtAll;DontAgree;TotallyAgree;DontAgreeAtAll;DontAgree;Neither;Agree;Agree;DontAgree;Agree;Neither;Agree;Neither;DontAgree;DontAgree;DontAgree;Neither;Neither;TotallyAgree;Neither;Neither;Neither;DontAgree;TotallyAgree;Agree;Agree;Neither;TotallyAgree;Someone Fictive;Yes;Love;Neither;TotallyAgree;TotallyAgree;TotallyAgree;TotallyAgree;Agree;DontAgree;DontAgree;Agree;DontAgreeAtAll;DontAgreeAtAll;DontAgree;DontAgree;DontAgreeAtAll;DontAgreeAtAll;TotallyAgree;Agree;Agree;Neither;Neither;Agree;DontAgree;TotallyAgree;Neither;Neither;TotallyAgree;DontAgree;Agree;Agree;TotallyAgree;Neither;Neither;Neither;Neither;9;6
